x	y
684049.0122	5996191.519
684013.4379	5996190.103
684010.9761	5996251.968
683993.1857	5996251.26
683974.6784	5996250.524
683973.4482	5996281.443
683966.4508	5996281.165
683937.0878	5996279.997
683935.7385	5996313.919
683934.6368	5996341.613
683897.5797	5996339.582
683895.8111	5996402.145
683859.5165	5996400.702
683857.0534	5996462.646
683820.6949	5996461.2
683814.5553	5996615.635
683778.9998	5996614.222
683778.2673	5996614.108
683778.2639	5996614.193
683778.2605	5996614.192
683745.1044	5997448.311
683708.7538	5997446.866
683706.2936	5997508.766
683669.0015	5997504.722
683661.5475	5997692.307
683626.3047	5997690.906
683625.0745	5997721.87
683588.7959	5997720.429
683588.7955	5997720.438
683588.7257	5997720.435
683587.4979	5997751.345
683579.5265	5997751.029
683515.0009	5997748.466
683514.9985	5997748.527
683514.8612	5997748.522
683512.4017	5997810.466
683476.1163	5997809.026
683474.8868	5997839.997
683438.5392	5997838.555
683437.3295	5997869.032
683402.6899	5997867.658
683328.4906	5997864.714
683323.5378	5997895.485
683290.9165	5997894.191
683290.9117	5997894.314
683290.8339	5997894.311
683289.6055	5997925.282
683253.321	5997923.843
683253.3183	5997923.891
683253.2687	5997923.889
683251.499	5997954.793
683179.6863	5997951.946
683179.5446	5997951.935
683179.5444	5997951.94
683179.3997	5997951.934
683178.1744	5997982.848
683173.0893	5997982.647
683141.9068	5997981.411
683140.6939	5998012.017
683104.3625	5998010.577
683104.3589	5998010.668
683104.3437	5998010.668
683103.1202	5998041.548
682885.2469	5998032.921
682884.0218	5998063.879
682821.3873	5998061.401
682629.7852	5998053.825
682629.7867	5998053.882
682628.5644	5998084.812
682592.2812	5998083.378
682593.4404	5998054.039
682593.5697	5998052.394
682568.5326	5998051.405
682557.2234	5998050.958
682557.7418	5998037.834
682558.4448	5998020.039
682558.3812	5998020.036
682558.3827	5998019.997
682485.7533	5998017.129
682486.9727	5997986.248
682486.9725	5997986.248
682486.9761	5997986.157
682269.0233	5997977.556
682269.0003	5997978.139
682263.5612	5998008.361
682231.5181	5998007.097
682230.2974	5998038.055
682215.0062	5998037.452
682193.9567	5998036.623
682193.9562	5998036.636
682193.951	5998036.636
682189.0844	5998160.078
682176.4733	5998159.581
682152.875	5998158.651
682152.8741	5998158.673
682152.8011	5998158.67
682150.3644	5998220.487
682114.0927	5998219.057
682114.0876	5998219.185
682114.0151	5998219.182
682112.7945	5998250.154
682040.1686	5998247.292
682038.9485	5998278.264
681712.1341	5998265.401
681713.352	5998234.43
681677.1236	5998233.005
681678.3462	5998201.905
681533.0972	5998196.197
681530.6377	5998225.706
681530.509	5998227.243
681495.474	5998225.867
681494.2575	5998256.839
681421.632	5998253.987
681421.628	5998254.088
681421.5561	5998254.086
681420.237	5998284.528
681385.8988	5998283.18
681384.216	5998283.03
681384.2127	5998283.114
681384.0889	5998283.109
681382.8786	5998313.945
681346.5974	5998312.521
681347.8076	5998281.685
681347.8031	5998281.685
681347.8063	5998281.601
681342.7906	5998281.488
681240.6347	5998277.48
681240.0952	5998246.965
681240.0329	5998246.963
681240.0368	5998246.861
681203.7552	5998245.439
681204.9697	5998214.467
681168.6254	5998213.042
681169.8396	5998182.07
681169.8387	5998182.07
681169.8437	5998181.942
681133.5002	5998180.517
681135.9232	5998118.7
681135.9217	5998118.7
681135.9225	5998118.678
681099.5791	5998117.253
681100.7753	5998086.727
681100.7724	5998086.727
681100.7757	5998086.667
680919.3084	5998079.56
680919.3061	5998079.62
680919.2362	5998079.617
680918.0412	5998110.143
680883.6612	5998108.797
680883.6603	5998108.819
680881.6953	5998108.742
680875.6504	5998263.179
680841.1656	5998261.83
680839.3787	5998261.676
680839.3754	5998261.76
680839.3689	5998261.759
680838.1622	5998292.596
680656.5691	5998285.493
680657.7746	5998254.657
680657.7192	5998254.654
680657.7224	5998254.571
680652.6975	5998254.458
680550.3648	5998250.459
680550.0064	5998219.951
680549.995	5998219.951
680549.9989	5998219.85
680404.7627	5998214.177
680405.9658	5998183.359
680405.9504	5998183.358
680405.9564	5998183.205
680369.7055	5998181.79
680370.9144	5998150.818
680370.8358	5998150.815
680370.8408	5998150.687
680298.2926	5998147.856
680299.496	5998117.01
680299.4848	5998117.01
680299.4877	5998116.935
680244.2506	5998114.781
680226.8091	5998114.1
680228.0141	5998083.203
680228.0019	5998083.202
680228.0028	5998083.18
680082.7592	5998077.518
680083.9488	5998046.992
680083.9405	5998046.992
680083.9429	5998046.932
680011.3818	5998044.105
680013.626	5997986.492
680013.567	5997986.487
680013.7332	5997982.218
679941.1038	5997979.39
679942.3098	5997948.417
679942.3054	5997948.417
679942.3061	5997948.403
679906.0902	5997946.993
679908.1511	5997894.051
679908.4974	5997885.154
679908.4337	5997885.153
679908.4374	5997885.06
679872.0908	5997883.645
679873.181	5997855.634
679873.345	5997853.042
679845.4962	5997851.958
679836.9977	5997851.627
679838.2008	5997820.707
679837.9835	5997820.704
679729.159	5997816.471
679730.2005	5997789.689
679730.4911	5997785.551
679730.3616	5997785.546
679730.3635	5997785.498
679657.7311	5997782.674
679657.7221	5997782.904
679656.407	5997813.642
679584.1063	5997810.833
679583.9634	5997810.821
679583.9632	5997810.827
679583.8952	5997810.824
679582.694	5997841.739
679577.9898	5997841.556
679546.4146	5997840.329
679546.4123	5997840.387
679546.4071	5997840.387
679544.0171	5997901.907
679507.6707	5997900.495
679506.4682	5997931.454
679499.805	5997931.195
679470.257	5997930.048
679470.2564	5997930.061
679470.1838	5997930.058
679468.981	5997961.031
679433.2619	5997959.644
679432.7098	5997959.556
679432.7084	5997959.623
679432.6351	5997959.62
679427.8443	5998083.01
679391.5709	5998081.602
679391.568	5998081.677
679391.5588	5998081.676
679390.3615	5998112.522
679369.6486	5998111.718
679354.0254	5998111.111
679354.4959	5998098.988
679355.2254	5998080.191
679331.8231	5998079.283
679318.8799	5998078.781
679319.2727	5998068.66
679320.0797	5998047.861
679283.8647	5998046.456
679285.0513	5998015.87
679248.7053	5998014.46
679248.7029	5998014.52
679248.6274	5998014.517
679247.4434	5998045.043
679239.936	5998044.752
679065.9352	5998038.007
679067.118	5998007.481
679067.1036	5998007.48
679067.1059	5998007.42
679030.7599	5998006.012
679029.575	5998036.598
679000.4853	5998035.471
678993.3599	5998035.195
678993.359	5998035.217
678993.3062	5998035.215
678992.3379	5998060.216
678990.834	5998097.03
678954.6195	5998095.627
678954.6132	5998095.755
678954.5621	5998095.753
678954.3731	5998100.635
678953.0899	5998126.715
678917.0805	5998125.321
678917.0744	5998125.474
678917.0641	5998125.474
678916.6701	5998135.652
678914.6397	5998186.755
678900.049	5998186.191
678878.2815	5998185.348
678874.143	5998216.154
678840.9363	5998214.869
678840.9311	5998215.004
678840.8118	5998215
678839.6132	5998245.972
678766.9883	5998243.162
678766.9826	5998243.308
678766.9732	5998243.307
678766.9687	5998243.667
678764.5919	5998305.107
678728.3111	5998303.704
678728.3073	5998303.744
678728.2372	5998303.741
678725.3123	5998334.607
678690.9724	5998333.279
678690.8286	5998333.261
678690.8287	5998333.273
678690.7703	5998333.271
678688.3913	5998394.791
678652.1112	5998393.389
678652.1079	5998393.473
678652.1029	5998393.473
678647.7744	5998424.241
678647.7657	5998424.24
678614.5715	5998422.957
678614.5703	5998422.988
678614.5648	5998422.988
678613.3696	5998453.908
678606.7025	5998453.65
678577.0272	5998452.503
678575.6024	5998483.488
678540.1724	5998482.119
678539.6207	5998482.024
678539.6179	5998482.097
678539.556	5998482.095
678537.1789	5998543.616
678500.9	5998542.214
678500.8991	5998542.237
678500.8981	5998542.237
678500.8965	5998542.305
678499.7034	5998573.187
678465.8204	5998571.879
678463.3621	5998571.754
678458.573	5998602.535
678425.8266	5998601.27
678424.6274	5998632.325
678388.289	5998630.921
678388.2856	5998631.009
678388.283	5998631.009
678388.2811	5998631.124
678387.0931	5998661.895
678350.8152	5998660.494
678349.6375	5998691.004
678313.3623	5998689.604
678313.3591	5998689.642
678313.3583	5998689.642
678313.3003	5998690.341
678310.759	5998720.561
678277.2485	5998719.268
678275.8287	5998719.122
678275.8252	5998719.213
678275.8232	5998719.213
678273.4331	5998781.157
678237.0938	5998779.755
678234.7204	5998841.276
678198.4439	5998839.877
678192.4761	5998994.6
678156.2074	5998993.202
678156.202	5998993.342
678156.1331	5998993.339
678152.57	5999085.737
678080.0947	5999082.942
678080.091	5999083.038
678079.9548	5999083.033
678077.567	5999144.979
678041.2929	5999143.58
678038.8637	5999204.994
678025.8632	5999204.493
678002.6628	5999203.599
678002.6588	5999203.704
678002.586	5999203.701
678002.0301	5999218.127
678002.1025	5999218.14
678001.4628	5999234.742
677965.1266	5999233.342
677963.9354	5999264.262
677927.5341	5999262.86
677926.3432	5999293.78
677853.8024	5999290.986
677852.6077	5999322.018
677816.2722	5999320.619
677815.0948	5999351.205
677742.555	5999348.413
677741.3652	5999379.334
677705.0302	5999377.936
677703.8407	5999408.856
677594.967	5999404.669
677593.7782	5999435.589
677412.2361	5999428.613
677411.0442	5999459.644
677193.1688	5999451.281
677191.9955	5999481.868
677155.792	5999480.479
677154.4755	5999511.394
677118.2723	5999510.006
677117.0866	5999540.926
677080.753	5999539.533
677079.5676	5999570.453
677043.1688	5999569.058
677040.7857	5999631.232
677004.6488	5999629.847
677003.4852	5999660.211
676967.1525	5999658.819
676965.9678	5999689.739
676929.57	5999688.345
676926.0039	5999781.439
676889.6722	5999780.047
676883.7596	5999934.426
676847.5598	5999933.04
676846.3758	5999963.96
676810.0455	5999962.569
676807.6865	6000024.187
676771.3567	6000022.796
676768.9812	6000084.859
676732.6518	6000083.469
676727.9272	6000206.927
676691.7295	6000205.542
676689.2328	6000267.378
676653.0356	6000265.993
